time,LT,ST,MPP,CMP,CLP,GMP,MEP,proB
0,0.01,0,0,0,0,0,0,0
1,0.0098,0.000137931,0,0,0,0,0,0
2,0.0102,0.000137931,0,0,0,0,0,0
3,0.0108,0.000137931,0,0,0,0,0,0
4,0.0106,0.000344828,0,0,0,0,0,0
5,0.0104,0.000482759,0,0,0,0,0,0
6,0.0104,0.000482759,0,0,0,0,0,0
7,0.0104,0.000344828,0,0,0,0,0,0
8,0.0102,0.000482759,0,0,0,0,0,0
9,0.0102,0.000551724,0,0,0,0,0,0
10,0.0104,0.00062069,0,0,0,0,0,0
11,0.0104,0.00062069,0,0,0,0,0,0
12,0.0102,0.000758621,0,0,0,0,0,0
13,0.01,0.000965517,0,1.02564e-05,0,0,0,0
14,0.01,0.000965517,0,1.02564e-05,0,2.13675e-05,0,0
15,0.01,0.000758621,8.88889e-05,0.000164103,0,0.000213675,0.00017094,0
16,0.0098,0.000896552,0,0.00025641,0,0.000320513,0.000289283,0
17,0.0098,0.000965517,0,8.71795e-05,0,0.000106838,0.000118343,0
18,0.0098,0.00110345,0,4.10256e-05,0,6.41026e-05,9.20447e-05,0
19,0.0098,0.00124138,0,4.61538e-05,0,2.13675e-05,1.31492e-05,0
20,0.0098,0.00131034,0,0,0,0,0,0
21,0.0098,0.00151724,0,0,0,0,0,0
22,0.01,0.00158621,0,0,0,0,0,0
23,0.0102,0.00165517,0,0,0,0,0,0
24,0.0102,0.00158621,0,0,0,0,0,0
25,0.0102,0.00151724,6.66667e-05,0,0,0,0,0
26,0.0104,0.00131034,0.000111111,4.61538e-05,0,2.13675e-05,1.31492e-05,0
27,0.0106,0.00117241,8.88889e-05,5.12821e-05,0,4.2735e-05,2.62985e-05,0
28,0.0104,0.00124138,0,0,0,0,0,0
29,0.0104,0.00131034,0,0,0,0,0,0
30,0.0102,0.00144828,0,0,0,0,0,0
31,0.01,0.00144828,0,0,0,0,0,0
32,0.0096,0.00158621,0,0,0,0,0,0
33,0.0096,0.00158621,0,0,0,0,0,0
34,0.0096,0.00144828,0,0,0,0,1.31492e-05,0
35,0.0098,0.00137931,6.66667e-05,9.23077e-05,0,8.54701e-05,0.000118343,0
36,0.0094,0.00151724,4.44444e-05,2.5641e-05,0,2.13675e-05,6.57462e-05,0
37,0.0092,0.00158621,4.44444e-05,5.64103e-05,0,4.2735e-05,7.88955e-05,0
38,0.009,0.00172414,0,5.64103e-05,0,6.41026e-05,5.2597e-05,0
39,0.009,0.00186207,0,5.12821e-06,0,0,1.31492e-05,0
40,0.009,0.00193103,0,0,0,0,0,0
41,0.0088,0.00213793,0,0,0,0,0,0
42,0.0088,0.00213793,0,0,0,0,0,0
43,0.0088,0.0022069,0,0,0,0,0,0
44,0.009,0.00206897,0.000133333,1.53846e-05,0,2.13675e-05,0,0
45,0.0092,0.00206897,8.88889e-05,0,0,0,0,0
46,0.0094,0.00213793,0.000222222,0.000246154,0,0.000213675,0.000236686,0
47,0.0092,0.00206897,0.000133333,0.000205128,0,0.00017094,0.000236686,0
48,0.0092,0.002,0,7.69231e-05,0,6.41026e-05,9.20447e-05,0
49,0.009,0.002,0.000288889,0.000169231,0,0.00017094,0.000236686,0
50,0.0092,0.002,0.000511111,0.000487179,0,0.000491453,0.000460224,0
51,0.0094,0.00193103,0,0.000446154,0,0.000405983,0.000328731,0
52,0.0094,0.0017931,6.66667e-05,0.000307692,0,0.000320513,0.000407627,0
53,0.0094,0.00165517,0,0.000241026,0,0.000149573,0.000184089,0
54,0.0092,0.00158621,0,4.10256e-05,0,8.54701e-05,0.000105194,0
55,0.0096,0.00158621,0,0,0,0,0,0
56,0.0094,0.00158621,2.22222e-05,0,0,0,0,0
57,0.0096,0.00165517,0.000111111,0.000107692,0,0.000128205,0.000105194,0
58,0.0098,0.00172414,0,0,0,0,0,0
59,0.0098,0.00151724,0,2.05128e-05,0,6.41026e-05,5.2597e-05,0
60,0.0098,0.00151724,0,2.5641e-05,0,2.13675e-05,2.62985e-05,0
61,0.0096,0.00158621,0,0,0,0,0,0
62,0.0098,0.00144828,0,5.12821e-06,0,2.13675e-05,3.94477e-05,0
63,0.0098,0.00144828,0,0,0,0,0,0
64,0.01,0.00137931,0,5.12821e-06,0,0,1.31492e-05,0
65,0.01,0.00151724,8.88889e-05,5.12821e-06,0,6.41026e-05,0,0
66,0.0098,0.00165517,0.000311111,0.000148718,0,0.000149573,0.00017094,0
67,0.0098,0.00144828,8.88889e-05,0.000153846,0,8.54701e-05,0.00017094,0
